protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNTEMPL,South,2021.0,2021-12-02 00:00:00.000000 UTC,GCHWS_FALDA DEL CARMEN_2 ROS_LATE_F,-31.544948861672,-64.440787094464,AX7761VT3P,PDIP,,55.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2023-01-10 00:00:00.000000 UTC,SRUIZ_RIOPIEDRAS_ESPEJO_F22,-25.325617076554,-64.787938769288,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-21 00:00:00.000000 UTC,SRUIZ_CUSILLOS_ANTILLA_M22,-26.121221831764,-64.568939323688,DK7330VT3P,PDIP,,25.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2022-01-10 00:00:00.000000 UTC,ORODR3_YOUNG_RURAL_LATE_2122,-32.6791832,-57.6445484,NEXT226PW,PDIP,,45.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2022-12-29 00:00:00.000000 UTC,SRUIZ_LOSALTOS_CONSOLE_F22,-27.953004142929,-65.463638377224,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2022-01-07 00:00:00.000000 UTC,SRUIZ_ELAZUL_BURRUYACU_GEO22,-26.4570986,-64.6405389,P2089VYHR,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2022-12-30 00:00:00.000000 UTC,SRUIZ_CHILCAS_NOFAL_F22,-26.414999,-64.69727,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNSUBTR,North,2021.0,2021-12-29 00:00:00.000000 UTC,SRUIZ_AGRILAND_LACOCHA_M22,-27.796362742652,-65.549456941122,DK7330VT3P,PDIP,,70.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2022.0,2022-12-27 00:00:00.000000 UTC,SRUIZ_LAVIRGINIA_PARDO_E_F22,-26.801957,-64.835358,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,GEOFTNA,South,2021.0,2021-10-22 00:00:00.000000 UTC,GGBLAN_ELENA_BUSILLI_EARLY_GEO_FTN,-32.5574858,-64.3836999,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURU,South,2021.0,2021-12-10 00:00:00.000000 UTC,ORODR3_SANPEDRO_ELCHASCO_LATE_2122,-34.3904975,-57.8464513,DK7210RR2,PDIP,,20.0,,H2H_STABILITY_SURVIVAL
