protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNURY,South,2023.0,2023-10-16 00:00:00.000000 UTC,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,-34.4486849,-56.9574512,DK7210RR2,PDIP,,4.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-29 00:00:00.000000 UTC,ORODR3_LIBERTAD_UFO_EARLY_2324_RIEGO,-34.6183362,-56.8678987,DK7210RR2,PDIP,,6.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-09-29 00:00:00.000000 UTC,ORODR3_LIBERTAD_UFO_EARLY_2324_RIEGO,-34.6183362,-56.8678987,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-10-16 00:00:00.000000 UTC,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,-34.4486849,-56.9574512,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,DK7210RR2,PDIP,,60.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,DK7272VT3P,PDIP,,9.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-11 00:00:00.000000 UTC,DBORE_VILLADELTOTORAL_CHIALVA_LATE_F23,-30.77259396,-64.077717,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-30 00:00:00.000000 UTC,EEBONA_LASROSAS_ZILIO_EARLY_F23,-32.4981324,-61.4874586,DK7210RR2,PDIP,,4.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-12-29 00:00:00.000000 UTC,EEBONA_MONTESDEOCA_JAVIER_LATE_F23,-32.61403071,-61.8283308,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
