protocolType,FIELD_pipeline,FIELD_plantingDate,FIELD_locationName,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,DK7272VT3P,DSSFP,N/A,12.0,,FTNTEMP
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-09 00:00:00.000000 UTC,Rio Negro Rio Negro Uruguay,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7272TRE,DSSFP,N/A,0.0,,FTNURY
FTN,South,2023-10-09 00:00:00.000000 UTC,Rio Negro Rio Negro Uruguay,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7272TRE,SF9_SUB,N/A,0.0,,FTNURY
FTN,South,2023-10-09 00:00:00.000000 UTC,Rio Negro Rio Negro Uruguay,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7210VT3P,SF9_SUB,N/A,0.0,,FTNURY
FTN,South,2023-10-09 00:00:00.000000 UTC,Rio Negro Rio Negro Uruguay,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7210RR2,DSSFP,N/A,100.0,,FTNURY
FTN,South,2023-10-09 00:00:00.000000 UTC,Rio Negro Rio Negro Uruguay,ORODR3_SALTO_OBRIAN_EARLY_2324_RIEGO,-31.1695327,-57.103051,DK7210RR2,SF9_SUB,N/A,0.0,,FTNURY
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-09 00:00:00.000000 UTC,Tandil Buenos Aires Argentina,RLOPE1_VELA_SCHANG_EARLY_F23,-37.503508,-59.3670098,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
