protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,LT344TRE,YLD,N/A,1.0,165.54,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,NK842VIPTERA3,YLD,N/A,1.0,162.2,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,LT723TRE,YLD,N/A,1.0,170.71,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7208TRE,YLD,N/A,1.0,163.65,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7210PRO4,YLD,N/A,1.0,167.34,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,AY6923MQK1,YLD,N/A,1.0,154.39,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,NS7921VIP3CL,YLD,N/A,1.0,168.67,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,DK7272VT3P,YLD,N/A,1.0,160.86,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,NEXT226PWUE,YLD,N/A,1.0,158.74,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,,LT721TRE,YLD,N/A,1.0,155.87,,FTNTEMP
